Customer ID,Name,Age,Location,Gender,Account Type,Device Count
10082,Nimal Bandara,76,Trincomalee,Other,Fixed Deposit,1
10083,Chathura Silva,31,Galle,Other,Current,4
10084,Kavindi Wijesinghe,42,Kandy,Male,Fixed Deposit,3
10085,Kamal Hettiarachchi,79,Galle,Female,Current,3
10086,Ruwan Silva,63,Kandy,Male,Current,4
10087,Nadeeka Bandara,70,Galle,Female,Savings,1
10088,Dilshan Kumara,44,Negombo,Other,Fixed Deposit,3
10089,Dilshan Rathnayake,38,Matara,Female,Savings,4
10090,Tharushi Rathnayake,58,Batticaloa,Female,Current,4
10091,Rashmi Kumara,35,Negombo,Other,Savings,10
10092,Tharushi De Alwis,38,Ratnapura,Female,Fixed Deposit,9
10093,Anushka Rathnayake,31,Matara,Female,Current,9
10094,Nadeeka Bandara,47,Matara,Male,Savings,10
10095,Dilshan De Alwis,59,Batticaloa,Male,Savings,10
10096,Amaya Hettiarachchi,37,Jaffna,Female,Fixed Deposit,10
10097,Sarath Dias,64,Jaffna,Other,Current,8
10098,Ruwan Samarasinghe,60,Matara,Male,Savings,10
10099,Tharushi Rajapaksha,32,Ratnapura,Other,Current,9
10100,Sajith Bandara,75,Trincomalee,Female,Fixed Deposit,7
